Ingredient,Replacement
Milk,Almond milk or Coconut milk
Cultures,No replacement needed
Salt,No replacement needed
Enzymes,No replacement needed
Rice,Quinoa or Cauliflower rice
Eggs,Flaxseed eggs or Chia eggs
Butter,Coconut oil or Dairy-free butter
Shrimp,Jackfruit or Mushrooms
Almonds,Sunflower seeds or Pumpkin seeds
Sesame Seeds,Sunflower seeds or Flaxseeds
Peanuts,Sunflower seed butter or Almond butter
Sugar,Coconut sugar or Maple syrup
Water,No replacement needed
Soybeans,Chickpeas or Lentils
Wheat,Gluten-free flour blend or Almond flour
Salmon,Jackfruit or Mushrooms
Flour,Almond flour or Oat flour
Yeast,Baking powder or Sourdough starter
Oats,Quinoa flakes or Buckwheat groats
Corn,Millet or Rice
Barley,Quinoa or Brown rice
Rye,Buckwheat or Sorghum
Honey,Maple syrup or Agave nectar
Coconut,Sunflower seeds or Almonds
Pistachios,Pumpkin seeds or Sunflower seeds
Hazelnuts,Almonds or Cashews
Cashews,Sunflower seeds or Macadamia nuts
Walnuts,Pecans or Pumpkin seeds
Macadamia Nuts,Cashews or Brazil nuts
Pecans,Walnuts or Sunflower seeds
Brazil Nuts,Macadamia nuts or Cashews
Chestnuts,Sweet potatoes or Butternut squash
Chia Seeds,Flaxseeds or Hemp seeds
Flaxseeds,Chia seeds or Psyllium husk
Mustard,Horseradish or Wasabi
Celery,Fennel or Carrots
Carrots,Sweet potatoes or Pumpkin
Tomatoes,Red bell peppers or Carrots
Spinach,Kale or Swiss chard
Lettuce,Cabbage or Spinach
Cabbage,Kale or Collard greens
Broccoli,Cauliflower or Brussels sprouts
Cauliflower,Broccoli or Zucchini
Bell Peppers,Carrots or Celery
Cucumber,Zucchini or Green bell pepper
Zucchini,Eggplant or Yellow squash
Potatoes,Sweet potatoes or Turnips
Sweet Potatoes,Pumpkin or Butternut squash
Mushrooms,Eggplant or Jackfruit
Onions,Leeks or Shallots
Garlic,Onion powder or Asafoetida
Ginger,Turmeric or Galangal
Turmeric,Saffron or Mustard powder
Black Pepper,White pepper or Paprika
Cinnamon,Nutmeg or Allspice
Nutmeg,Mace or Cinnamon
Cloves,Allspice or Cinnamon
Paprika,Cayenne pepper or Chili powder
Cumin,Coriander or Caraway seeds
Cardamom,Cinnamon or Nutmeg
Basil,Oregano or Parsley
Oregano,Thyme or Marjoram
Thyme,Rosemary or Sage
Rosemary,Thyme or Oregano
Parsley,Cilantro or Dill
Coriander,Cumin or Caraway seeds
Dill,Fennel or Parsley
Mint,Basil or Cilantro
Vanilla,Almond extract or Maple syrup
Chocolate,Carob powder or Cocoa powder
Coffee,Chicory root or Dandelion root coffee
Tea,Herbal tea or Rooibos
Soy Sauce,Coconut aminos or Tamari
Fish Sauce,Soy sauce or Miso paste
Coconut Milk,Almond milk or Oat milk
Almond Milk,Coconut milk or Cashew milk
Cashew Milk,Almond milk or Oat milk
Yogurt,Coconut yogurt or Almond yogurt
Cheese,Dairy-free cheese or Nutritional yeast
Butter,Coconut oil or Ghee
Cream,Coconut cream or Cashew cream
Ice Cream,Coconut ice cream or Almond ice cream
Mayonnaise,Avocado or Hummus
Egg Whites,Aquafaba or Flaxseed eggs
Egg Yolks,Mashed avocado or Silken tofu
Chicken,Tofu or Jackfruit
Beef,Lentils or Mushrooms
Pork,Tempeh or Jackfruit
Lamb,Mushrooms or Eggplant
Turkey,Tofu or Chickpeas
Duck,Mushrooms or Seitan
Goat Meat,Tofu or Mushrooms
Crab,Hearts of palm or Jackfruit
Lobster,Mushrooms or Hearts of palm
Clams,Mushrooms or Eggplant
Oysters,Mushrooms or Seaweed
Mussels,Mushrooms or Hearts of palm
Scallops,King oyster mushrooms or Hearts of palm
Tuna,Jackfruit or Chickpeas
Mackerel,Jackfruit or Chickpeas
Haddock,Tofu or Mushrooms
Cod,Jackfruit or Hearts of palm
Sardines,Mushrooms or Nori
Anchovies,Capers or Nori
Tilapia,Tofu or Mushrooms
Trout,Jackfruit or Mushrooms
Pineapple,Mango or Peaches
Apple,Pears or Peaches
Banana,Applesauce or Pumpkin puree
Strawberries,Raspberries or Blueberries
Blueberries,Raspberries or Blackberries
Raspberries,Blackberries or Strawberries
Grapes,Blueberries or Cherries
Oranges,Tangerines or Lemons
Lemons,Limes or Vinegar
Limes,Lemons or Vinegar
Mango,Papaya or Peaches
Papaya,Mango or Pineapple
Cherries,Cranberries or Raspberries
Pomegranate,Cranberries or Red grapes
Watermelon,Cantaloupe or Honeydew
